"SampleID","SampleName","MarkerID","Haplotype","Reads","NA"
"005-2_S2","005-2_S2","csp","Noise",759,FALSE
"005-2_S2","005-2_S2","csp","Singelton",327,FALSE
"005-2_S2","005-2_S2","csp","Chimera",24,FALSE
"005-2_S2","005-2_S2","csp","csp-7",466,FALSE
"005-2_S2","005-2_S2","csp","csp-6",1040,FALSE
"005-2_S2","005-2_S2","csp","csp-5",1298,FALSE
"005-2_S2","005-2_S2","csp","Noise",2805,FALSE
"005-2_S2","005-2_S2","csp","csp-3",7612,FALSE
"005-2_S2","005-2_S2","csp","csp-1",8836,FALSE
"005-2_S2","005-2_S2","csp","csp-2",18360,FALSE
"006-2_S4","006-2_S4","csp","Noise",513,FALSE
"006-2_S4","006-2_S4","csp","Singelton",427,FALSE
"006-2_S4","006-2_S4","csp","Chimera",1,FALSE
"006-2_S4","006-2_S4","csp","csp-43",37715,FALSE
"010-2_S6","010-2_S6","csp","Noise",862,FALSE
"010-2_S6","010-2_S6","csp","Singelton",554,FALSE
"010-2_S6","010-2_S6","csp","csp-1",466,FALSE
"010-2_S6","010-2_S6","csp","csp-4",810,FALSE
"010-2_S6","010-2_S6","csp","csp-43",42490,FALSE
"011-2_S8","011-2_S8","csp","Noise",1039,FALSE
"011-2_S8","011-2_S8","csp","Singelton",598,FALSE
"011-2_S8","011-2_S8","csp","Chimera",2,FALSE
"011-2_S8","011-2_S8","csp","csp-1",558,FALSE
"011-2_S8","011-2_S8","csp","csp-4",850,FALSE
"011-2_S8","011-2_S8","csp","csp-43",40424,FALSE
"012-2_S10","012-2_S10","csp","Noise",583,FALSE
"012-2_S10","012-2_S10","csp","Singelton",498,FALSE
"012-2_S10","012-2_S10","csp","Chimera",3,FALSE
"012-2_S10","012-2_S10","csp","csp-6",464,FALSE
"012-2_S10","012-2_S10","csp","csp-13",685,FALSE
"012-2_S10","012-2_S10","csp","csp-16",742,FALSE
"012-2_S10","012-2_S10","csp","csp-26",924,FALSE
"012-2_S10","012-2_S10","csp","csp-5",1291,FALSE
"012-2_S10","012-2_S10","csp","csp-7",2736,FALSE
"012-2_S10","012-2_S10","csp","Noise",3855,FALSE
"012-2_S10","012-2_S10","csp","csp-1",8904,FALSE
"012-2_S10","012-2_S10","csp","csp-4",10214,FALSE
"012-2_S10","012-2_S10","csp","csp-43",13018,FALSE
"017-2_S11","017-2_S11","csp","Noise",934,FALSE
"017-2_S11","017-2_S11","csp","Singelton",710,FALSE
"017-2_S11","017-2_S11","csp","Chimera",84,FALSE
"017-2_S11","017-2_S11","csp","csp-5",581,FALSE
"017-2_S11","017-2_S11","csp","csp-6",619,FALSE
"017-2_S11","017-2_S11","csp","csp-43",621,FALSE
"017-2_S11","017-2_S11","csp","csp-98",740,FALSE
"017-2_S11","017-2_S11","csp","csp-189",1720,FALSE
"017-2_S11","017-2_S11","csp","Noise",1792,FALSE
"017-2_S11","017-2_S11","csp","csp-1",3979,FALSE
"017-2_S11","017-2_S11","csp","csp-4",6709,FALSE
"017-2_S11","017-2_S11","csp","csp-2",9427,FALSE
"017-2_S11","017-2_S11","csp","csp-184",16805,FALSE
"018-2_S12","018-2_S12","csp","Noise",506,FALSE
"018-2_S12","018-2_S12","csp","Singelton",458,FALSE
"018-2_S12","018-2_S12","csp","Chimera",50,FALSE
"018-2_S12","018-2_S12","csp","csp-98",436,FALSE
"018-2_S12","018-2_S12","csp","csp-5",589,FALSE
"018-2_S12","018-2_S12","csp","Noise",1142,FALSE
"018-2_S12","018-2_S12","csp","csp-1",2066,FALSE
"018-2_S12","018-2_S12","csp","csp-4",4341,FALSE
"018-2_S12","018-2_S12","csp","csp-21",33704,FALSE
"019-2_S13","019-2_S13","csp","Noise",616,FALSE
"019-2_S13","019-2_S13","csp","Singelton",705,FALSE
"019-2_S13","019-2_S13","csp","Chimera",4811,FALSE
"019-2_S13","019-2_S13","csp","csp-7",533,FALSE
"019-2_S13","019-2_S13","csp","csp-5",549,FALSE
"019-2_S13","019-2_S13","csp","csp-4",1098,FALSE
"019-2_S13","019-2_S13","csp","Noise",1318,FALSE
"019-2_S13","019-2_S13","csp","csp-1",1891,FALSE
"019-2_S13","019-2_S13","csp","csp-276",4753,FALSE
"019-2_S13","019-2_S13","csp","csp-189",10771,FALSE
"019-2_S13","019-2_S13","csp","csp-259",17049,FALSE
"020-2_S14","020-2_S14","csp","Noise",843,FALSE
"020-2_S14","020-2_S14","csp","Singelton",445,FALSE
"020-2_S14","020-2_S14","csp","Noise",42449,FALSE
"021-2_S15","021-2_S15","csp","Noise",579,FALSE
"021-2_S15","021-2_S15","csp","Singelton",897,FALSE
"021-2_S15","021-2_S15","csp","Chimera",9136,FALSE
"021-2_S15","021-2_S15","csp","csp-109",996,FALSE
