SampleName,Region
005-1_S1,South
006-1_S3,South
010-1_S5,South
011-1_S7,South
012-1_S9,South
017-1_S1,South
018-1_S2,South
021-1_S5,South
022-1_S6,South
023-1_S7,South
024-1_S18,North
025-1_S20,North
027-1_S22,North
029-1_S24,North
030-1_S26,North
040-1_S29,North
048-1_S31,North
11639-1_S7,North
11800-1_S16,North
13819-1_S8,North
13839-1_S12,North
18330-1_S6,North
18411-1_S15,North
18437-1_S17,North
192771-1_S14,North
22511-1_S18,North
82281-1_S3,North
8238-1_S10,North
Abass-1_S4,North
Ali-1_S19,North
Balkisu-1_S2,North
cc002-1_S30,South
cc003-1_S31,South
cc004-1_S32,South
cc005-1_S33,South
cc006-1_S34,South
cc007-1_S35,South
cc008-1_S36,South
cc010-1_S38,South
cc011-1_S39,South
cc012-1_S40,South
cc014-1_S22,South
cc016-1_S24,South
cc017-1_S25,South
cc018-1_S26,South
cc021-1_S28,South
cc022-1_S29,South
cco15-1_S23,South
kg073-1_S20,Central
Mariam-1_S5,North
MGH001-1_S28,North
PZ049-1_S21,North
Rafiatu-1_S9,North
Shaatu-1_S11,North
sk052-1_S1,Central
sk053-1_S3,Central
sk057-1_S5,Central
sk085-1_S7,Central
sk090-1_S11,Central
sk094-1_S13,Central
sk096-1_S15,Central
sk097-1_S17,Central
sk101-1_S19,Central
sk107-1_S21,Central
sk108-1_S23,Central
sk119-1_S25,Central
sk125-1_S27,Central
sk142-1_S29,Central
sk150-1_S31,Central
sk154-1_S33,Central
sk159-1_S35,Central
sk162-1_S37,Central
sk163-1_S39,Central
sk166-1_S21,Central
sk177-1_S22,Central
sk179-1_S23,Central
sk181-1_S24,Central
sk189-1_S25,Central
sk191-1_S26,Central
sk196-1_S27,Central
Yakubu-1_S13,North
005-2_S2,South
006-2_S4,South
010-2_S6,South
011-2_S8,South
012-2_S10,South
017-2_S11,South
018-2_S12,South
019-2_S13,South
021-2_S15,South
022-2_S16,South
023-2_S17,South
024-2_S19,North
025-2_S21,North
027-2_S23,North
029-2_S25,North
030-2_S27,North
034-2_S28,North
040-2_S30,North
048-2_S32,North
11639-2_S6,North
13819-2_S7,North
13839-2_S11,North
18330-2_S5,North
18411-2_S14,North
18437-2_S16,North
192771-2_S13,North
22511-2_S17,North
82281-2_S2,North
8238-2_S9,North
Abass-2_S3,North
Ali-2_S18,North
Balkisu-2_S1,North
cc001-2_S9,South
cc002-2_S10,South
cc003-2_S11,South
cc004-2_S12,South
cc005-2_S13,South
cc006-2_S14,South
cc007-2_S15,South
cc009-2_S17,South
cc010-2_S18,South
cc011-2_S19,South
cc012-2_S20,South
cc014-2_S21,South
cc015-2_S22,South
cc016-2_S23,South
cc018-2_S25,South
cc019-2_S26,South
cc020-1_S27,South
cc020-2_S27,South
cc021-1_S28,South
cc021-2_S28,South
cc022-1_S29,South
cc022-2_S1,South
KG073-2_S19,Central
Mariam-2_S4,North
MGH001-2_S8,North
pz049-2_S20,North
Rafiatu-2_S8,North
Shaatu-2_S10,North
sk052-2_S2,Central
sk053-2_S4,Central
sk057-2_S6,Central
sk085-2_S8,Central
sk088-2_S10,Central
sk090-2_S12,Central
sk094-2_S14,Central
sk096-2_S16,Central
sk097-2_S18,Central
sk101-2_S20,Central
sk107-2_S22,Central
sk108-2_S24,Central
sk119-2_S26,Central
sk125-2_S28,Central
sk142-2_S30,Central
sk150-2_S32,Central
sk159-2_S36,Central
sk162-2_S38,Central
sk163-2_S40,Central
sk166-2_S1,Central
sk177-2_S2,Central
sk179-2_S3,Central
sk181-2_S4,Central
sk189-2_S5,Central
sk191-2_S6,Central
sk196-2_S7,Central
